Fri Sep 24 2021 05:52:17 GMT-0400 (Eastern Daylight Time) - Run Time: 3274ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Trip purpose of destination - purp_dest


Filters:
Trip purpose of destination - purp_dest In M, 
and
Regional municipality of household - region_hhld In 5, 6, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : purp_dest (Market/Shop)

  gta06_orig  gta06_dest      total
        4020        4069         31
        4020        4152         48
        4021        3639         33
        4021        4014         51
        4021        4021         68
        4021        4069         48
        4022        4002         14
        4022        4035         17
        4022        4057         15
        4022        4084         18
        4023         309         86
        4023        3614         93
        4023        3634        128
        4023        3639         91
        4023        3644         13
        4023        3649         23
        4023        3671         14
        4023        3879         21
        4023        4012         30
        4023        4014        111
        4023        4016         16
        4023        4021         43
        4023        4023         63
        4023        4025        110
        4023        4030        142
        4023        4034         11
        4023        4035         74
        4023        4039          5
        4023        4063         23
        4023        5233         38
        4024        3634        134
        4024        3650        128
        4024        3662         11
        4024        4024         24
        4024        4025         35
        4024        4030          8
        4024        4033         14
        4024        4034         58
        4024        4035         15
        4024        4040          6
        4024        4063         25
        4024        5233         20
        4025          52         14
        4025        3634         30
        4025        3660          7
        4025        3662          7
        4025        3671         14
        4025        4011         15
        4025        4016         24
        4025        4023         12
        4025        4024         21
        4025        4025        127
        4025        4026         26
        4025        4029          6
        4025        4030        204
        4025        4033          9
        4025        4034        216
        4025        4035        137
        4025        4040         14
        4025        4059         16
        4025        4082         11
        4025        4084         18
        4025        4126         10
        4025        4181         15
        4026        3634         45
        4026        4007         10
        4026        4012         10
        4026        4016         20
        4026        4024         14
        4026        4025        118
        4026        4026         16
        4026        4030         13
        4026        4034         46
        4026        4035         69
        4026        4040         28
        4027        4014         57
        4027        4030         63
        4027        4034         24
        4027        4035         58
        4027        4040         53
        4027        4064         14
        4027        4075         11
        4027        4076         30
        4027        4081          3
        4027        4087          9
        4028        3634         45
        4028        4011         11
        4028        4014         18
        4028        4025         27
        4028        4027         37
        4028        4030         11
        4028        4035         24
        4029          23         38
        4029          52         25
        4029          85          7
        4029        3634         61
        4029        3851         30
        4029        4005         16
        4029        4009         21
        4029        4014        146
        4029        4024         13
        4029        4025        103
        4029        4029         38
        4029        4030        188
        4029        4034         43
        4029        4035        375
        4029        4040         78
        4029        5087         24
        4030        3639         23
        4030        4002         63
        4030        4008         12
        4030        4011        105
        4030        4012         53
        4030        4014         22
        4030        4021         14
        4030        4027         69
        4030        4029         25
        4030        4034        209
        4030        4035        166
        4030        4036         20
        4030        4040        181
        4030        4053         36
        4030        4057         10
        4030        4058         11
        4030        4080         10
        4030        4183        117
        4030        6052         33
        4031        4012         20
        4031        4025         62
        4031        4030         80
        4031        4035         97
        4031        4040         12
        4031        4057         44
        4032          55         19
        4032         309          9
        4032        4025         29
        4032        4034         45
        4032        4035         35
        4032        4037         17
        4032        4060         13
        4033        3608         48
        4033        3634        152
        4033        3851         35
        4033        4016         37
        4033        4024         61
        4033        4025         14
        4033        4027         65
        4033        4030        141
        4033        4033        143
        4033        4034        182
        4033        4037        291
        4033        4086         40
        4034         526         14
        4034        3634         40
        4034        3686         58
        4034        4003         26
        4034        4009         10
        4034        4011         14
        4034        4012         39
        4034        4016         17
        4034        4021         32
        4034        4024         14
        4034        4027         23
        4034        4030         16
        4034        4034        194
        4034        4035        239
        4034        4037         65
        4034        4040         14
        4034        4076         24
        4034        4082         72
        4034        4183         20
        4034        4188         32
        4035        3634         55
        4035        3879         10
        4035        4007          6
        4035        4014         28
        4035        4024          6
        4035        4025         23
        4035        4029         12
        4035        4030         83
        4035        4033         19
        4035        4034        185
        4035        4035        378
        4035        4037         31
        4035        4039         36
        4035        4040         20
        4035        4041         24
        4035        4053         12
        4035        4064         19
        4035        4079         12
        4035        4087         23
        4035        4125          9
        4036          52         35
        4036        3607          9
        4036        3662          8
        4036        3851         55
        4036        3874         46
        4036        4009          6
        4036        4024         46
        4036        4025         58
        4036        4030         34
        4036        4034         85
        4036        4035        196
        4036        4037         22
        4036        4040         15
        4036        4057         61
        4036        4183         21
        4036        8380         37
        4036        9998         18
        4037        3601         36
        4037        3634         16
        4037        3661          8
        4037        4002         39
        4037        4011         17
        4037        4014         24
        4037        4025         15
        4037        4027         29
        4037        4030         58
        4037        4034        102
        4037        4035        170
        4037        4037         38
        4037        4039          4
        4037        4041         17
        4037        4079         21
        4037        4183        160
        4038        3634        146
        4038        4007         20
        4038        4016          7
        4038        4025         22
        4038        4029         24
        4038        4030         54
        4038        4034         20
        4038        4035        116
        4038        4037         26
        4038        4040         34
        4038        4183         41
        4039        2123          6
        4039        2126          6
        4039        3634         71
        4039        3670         19
        4039        3809         18
        4039        4002         31
        4039        4003         19
        4039        4007         26
        4039        4009         49
        4039        4012         15
        4039        4014         33
        4039        4016         30
        4039        4024         59
        4039        4030         63
        4039        4034          7
        4039        4035         47
        4039        4039        172
        4039        4040        205
        4039        4041        197
        4039        4053         20
        4039        4063         39
        4039        4183         31
        4039        9999         24
        4040          31         14
        4040          34         14
        4040        3343         30
        4040        3671         27
        4040        3879         18
        4040        4002         40
        4040        4005         63
        4040        4008         14
        4040        4009         20
        4040        4011         37
        4040        4012        154
        4040        4014        100
        4040        4016         25
        4040        4027         27
        4040        4030         51
        4040        4034         45
        4040        4035         88
        4040        4037         15
        4040        4039         77
        4040        4040        304
        4040        4041         91
        4040        4057         29
        4040        4060         17
        4040        4076         38
        4040        4079         66
        4040        4080         39
        4040        4183          8
        4040        4186         31
        4041          52         62
        4041          65          9
        4041         442         31
        4041        2063         33
        4041        2106         15
        4041        2389         15
        4041        3634        150
        4041        3660         25
        4041        4007         30
        4041        4008         22
        4041        4012         41
        4041        4014         56
        4041        4019         14
        4041        4030         27
        4041        4034         37
        4041        4039         36
        4041        4040        364
        4041        4041        141
        4041        4042         20
        4041        4057        132
        4041        4059         27
        4041        4063         10
        4041        4076         39
        4041        4087         68
        4041        4189         20
        4041        5087         75
        4042        3639         12
        4042        3871         25
        4042        4002         27
        4042        4003         39
        4042        4007         33
        4042        4011         22
        4042        4012         19
        4042        4014         92
        4042        4024         11
        4042        4025          9
        4042        4034         41
        4042        4035         40
        4042        4037         20
        4042        4039         49
        4042        4041        310
        4042        4057         41
        4042        4069         12
        4042        4080         16
        4042        9998         20
        4044        4076         18
        4044        4079         10
        4044        4081         14
        4045        3601         14
        4045        4002         58
        4045        4007         12
        4045        4008         20
        4045        4012         79
        4045        4014         15
        4045        4016         20
        4045        4024         12
        4045        4034         17
        4045        4035         11
        4045        4037         10
        4045        4039         35
        4045        4040         35
        4045        4041         57
        4045        4054         79
        4045        4057         31
        4045        4060         12
        4045        4063         13
        4045        4079        108
        4045        4080         35
        4045        4087         19
        4045        4186         12
        4045        4189         72
        4045        4190         28
        4045        5148         72
        4045        5250         14
        4045        8912         12
        4048        4119          9
        4050          85         11
        4050        4051         10
        4050        4053         13
        4050        4057        174
        4050        4059         17
        4050        4062         13
        4050        5074         34
        4050        5121         66
        4050        5172         10
        4051         309         12
        4051        4051         11
        4051        4052         53
        4051        4053        161
        4051        4057        105
        4051        4059         36
        4051        4060         23
        4051        4062         50
        4051        4063         49
        4051        4079         15
        4051        4080         33
        4051        4084         14
        4051        4086         18
        4051        4087         12
        4051        4088         10
        4051        4188         12
        4051        4189         46
        4051        5087         12
        4051        5169         13
        4051        5205         16
        4051        5208         26
        4051        5232         29
        4051        5233         11
        4051        6026         13
        4051        6029         16
        4052        4052         60
        4052        4053        107
        4052        4057         77
        4052        4059         28
        4052        4063         47
        4052        4082         31
        4052        5087         29
        4052        5127         31
        4052        5131         40
        4052        5173         24
        4052        5191         42
        4052        5232         44
        4052        8955         24
        4053        4053        150
        4053        4054         31
        4053        4057        142
        4053        4058         13
        4053        4059        283
        4053        4062         13
        4053        4063         64
        4053        4068         27
        4053        4082         23
        4053        4087         49
        4053        4088         52
        4053        5096         22
        4053        5112         37
        4053        5131         14
        4053        5196         18
        4053        6023         31
        4053        6086         15
        4054        4053        157
        4054        4054         13
        4054        4055         83
        4054        4057         46
        4054        4059         56
        4054        4062         80
        4054        4084         25
        4054        4088         17
        4054        4091         43
        4054        5131         31
        4055         309         16
        4055        4052         17
        4055        4053        201
        4055        4054         15
        4055        4057        173
        4055        4059         55
        4055        4060         85
        4055        4062         41
        4055        4063         32
        4055        4085         13
        4055        4087         46
        4055        4137         17
        4055        5042         13
        4055        5126         24
        4055        6028         35
        4056        4014         11
        4056        4053         13
        4056        4057         24
        4056        4059         60
        4056        4075         27
        4056        4076          7
        4056        5043         11
        4056        5058         46
        4056        5148         21
        4057        2098         16
        4057        3353         29
        4057        4002         23
        4057        4003         18
        4057        4007         70
        4057        4053        362
        4057        4057        326
        4057        4059        328
        4057        4060         47
        4057        4062         33
        4057        4063        219
        4057        4064        101
        4057        4068          7
        4057        4071         20
        4057        4081         33
        4057        4082         33
        4057        4084        104
        4057        4087        155
        4057        4088        105
        4057        4096         19
        4057        4110         14
        4057        4188         32
        4057        5092         35
        4057        5112         55
        4057        5126         59
        4057        5197         29
        4057        5232         15
        4057        5233         33
        4058        4002         24
        4058        4053         10
        4058        4057         12
        4058        4058         11
        4058        4063         34
        4058        4068         38
        4058        4076         17
        4058        4084         23
        4058        4087         13
        4058        4088         60
        4058        4089         34
        4059          89         28
        4059        4027         63
        4059        4030          6
        4059        4053        229
        4059        4055         10
        4059        4057        271
        4059        4059        225
        4059        4060         25
        4059        4062        122
        4059        4063        260
        4059        4064         12
        4059        4068         64
        4059        4071         38
        4059        4076         72
        4059        4080         12
        4059        4082         58
        4059        4084         36
        4059        4087        132
        4059        4088         15
        4059        4089         40
        4059        4162         74
        4059        5065         16
        4059        5175         16
        4059        5190         12
        4059        5193         32
        4059        6010         14
        4059        9068         52
        4060          50         19
        4060          52         25
        4060        4011         13
        4060        4012         11
        4060        4030         13
        4060        4053         71
        4060        4057        180
        4060        4058         78
        4060        4059        339
        4060        4060         52
        4060        4062         11
        4060        4063        179
        4060        4064         11
        4060        4065         11
        4060        4067         13
        4060        4068         22
        4060        4071         11
        4060        4073         23
        4060        4075         20
        4060        4080         61
        4060        4081          9
        4060        4082         51
        4060        4086         11
        4060        4087        113
        4060        4088         52
        4060        4089         22
        4060        5036         13
        4060        5087         64
        4060        5088         37
        4060        5162         36
        4060        5193         25
        4060        5232         40
        4061        4002         29
        4061        4029         18
        4061        4053         24
        4061        4057        142
        4061        4059        224
        4061        4060          9
        4061        4061         54
        4061        4063         72
        4061        4064         30
        4061        4065         16
        4061        4068         23
        4061        4071         13
        4061        4076         46
        4061        4083         55
        4061        4084         18
        4061        4088         38
        4061        4089         17
        4062        4011         14
        4062        4053         28
        4062        4057        222
        4062        4058         32
        4062        4059         13
        4062        4060         25
        4062        4062         70
        4062        4063        177
        4062        4064        297
        4062        4065         15
        4062        4067         16
        4062        4068         57
        4062        4069         73
        4062        4079         14
        4062        4082         59
        4062        4084         14
        4062        4087         44
        4062        4088         21
