Sat Sep 11 2021 19:00:10 GMT-0400 (Eastern Daylight Time) - Run Time: 1182ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of employment - gta06_emp
Table: Occupation type - occupation


Filters:
Regional municipality of household - region_hhld In 6, 40
and
Regional municipality of employment - region_emp In 6, 40

Persons 2016
ROW : gta06_hhld
COLUMN : gta06_emp

TABLE    : occupation (Unknown)

  gta06_hhld   gta06_emp      total
        5059        5036         59
        5059        5041         81
        5059        5043         35
        5059        5105         81
        5059        5206         32
        5060        5184         41
        5061        5108         47
        5061        5113         30
        5061        5126         37
        5061        5150         31
        5061        5197         19
        5063        5051         29
        5063        5125         49
        5063        5210         40
        5066        5036         72
        5066        5132         69
        5066        5142         42
        5066        5172         20
        5066        5194         27
        5066        5206         61
        5067        5159         53
        5067        5184         31
        5067        5190         26
        5068        5056         25
        5068        5104         34
        5068        5107         18
        5068        5148         37
        5068        5168         21
        5068        5181         35
        5068        5206         53
        5069        5066         56
        5069        5069         80
        5069        5087         47
        5069        5122         68
        5069        5172         39
        5069        5184        151
        5071        5071         22
        5071        5173         32
        5071        5193         38
        5073        5043         51
        5073        5093         39
        5073        5102         16
        5073        5135         80
        5073        5140         75
        5074        5184         27
        5074        5194         32
        5075        5112         51
        5075        5164         55
        5075        5172         37
        5075        5193         20
        5076        5128         65
        5077        5099         14
        5078        5078         20
        5078        5159         41
        5078        5184         19
        5079        5153         21
        5080        5198          8
        5081        5043         16
        5081        5099         28
        5081        5106         16
        5081        5164         31
        5081        5190         28
        5082        5058         33
        5082        5088         34
        5082        5139         33
        5082        5145         27
        5082        5159         33
        5082        5166         18
        5082        5184         37
        5082        5187         38
        5082        5205         27
        5084        5020         67
        5084        5084         22
        5084        5167         38
        5084        5172         97
        5084        5186         31
        5084        5201         17
        5086        5079         28
        5086        5087         27
        5086        5136         37
        5089        5036         66
        5089        5050         18
        5089        5062         66
        5089        5104         34
        5089        5112         33
        5089        5135         50
        5089        5198         35
        5090        5056         21
        5090        5093         18
        5090        5100         75
        5090        5147         27
        5090        5186         27
        5090        5197         20
        5091        5091         39
        5091        5142        114
        5091        5184         34
        5091        5210         29
        5092        5092         65
        5092        5135         55
        5092        5193         55
        5092        5198         57
        5093        5186         34
        5094        5094         14
        5094        5144         42
        5094        5186         26
        5094        5205         17
        5095        5036         42
        5095        5150         39
        5095        5153         38
        5095        5172         25
        5095        5186         46
        5095        5187         62
        5097        5087         70
        5097        5098         44
        5098        5058         58
        5098        5088         34
        5098        5115         99
        5098        5128        101
        5098        5197         40
        5098        5202         70
        5098        5206         55
        5099        5128         29
        5100        5079         17
        5100        5100         64
        5100        5113         34
        5100        5172         45
        5100        5183         29
        5100        5184         15
        5100        5195         35
        5100        5198         25
        5100        5238         21
        5101        5187         17
        5102        5102         26
        5102        5184         27
        5104        5043         26
        5104        5084         36
        5104        5184         39
        5104        5198         42
        5104        5200         22
        5105        5056         54
        5105        5172         47
        5105        5174         21
        5106        5106         14
        5107        5153         61
        5109        5163         24
        5109        5164         48
        5109        5193         45
        5110        5110         26
        5110        5172         22
        5111        5135         41
        5111        5172         17
        5111        5186         31
        5111        5197         39
        5111        5198         25
        5113        5094         78
        5113        5118         69
        5113        5195        218
        5114        5092         53
        5114        5108         58
        5114        5172          8
        5115        5020         30
        5115        5135         21
        5115        5172         21
        5116        5066         50
        5117        5145         36
        5120        5112         26
        5120        5120         27
        5120        5185         44
        5121        5112         17
        5121        5121         83
        5121        5184         29
        5122        5148         41
        5122        5168         49
        5122        5210         35
        5123        5108         17
        5123        5123         40
        5123        5153         21
        5125        5020         21
        5125        5172         62
        5125        5184         41
        5126        5151         97
        5127        5080         33
        5127        5135         37
        5127        5138         37
        5127        5184         99
        5127        5208         99
        5129        5034         92
        5130        5119         56
        5130        5159         64
        5130        5187         31
        5130        5232         41
        5131        5187         27
        5131        5194         25
        5132        5150         15
        5132        5172         14
        5132        5198          8
        5133        5133         80
        5133        5147         41
        5133        5159         47
        5133        5198         32
        5135        5020         37
        5135        5089         41
        5135        5135         21
        5135        5159         44
        5135        5168         16
        5135        5184         60
        5135        5193         32
        5137        5142         36
        5139        5075        104
        5139        5112         19
        5139        5139          9
        5139        5163         14
        5139        5184         19
        5140        5051         24
        5140        5142         21
        5140        5197         21
        5141        5141         15
        5141        5193         15
        5141        5198         70
        5143        5143         83
        5144        5089         32
        5144        5144        105
        5148        5092         53
        5148        5182         29
        5148        5201         30
        5149        5013         49
        5149        5104         29
        5150        5018         19
        5150        5131          7
        5150        5157         60
        5150        5192         32
        5150        5202         11
        5151        5151         56
        5151        5188         29
        5154        5044         57
        5154        5148         18
        5154        5154         22
        5154        5172         21
        5154        5187         44
        5154        5197        102
        5155        5153         14
        5157        5020         36
        5157        5157         83
        5157        5168         96
        5157        5182         71
        5157        5185         26
        5157        5210         19
        5158        5145         20
        5158        5158         37
        5158        5170         29
        5158        5198         55
        5158        5219         28
        5159        5159         25
        5159        5172         41
        5159        5195         19
        5161        5076         55
        5161        5081        170
        5161        5099         55
        5161        5187         43
        5162        5185         49
        5162        5200         32
        5163        5099         43
        5163        5139         32
        5163        5198         26
        5164        5107         50
        5164        5144         14
        5164        5166         72
        5164        5170         53
        5164        5183         39
        5164        5193         53
        5165        5145         99
        5165        5165        111
        5165        5194         41
        5166        5166         65
        5166        5193         40
        5166        5198        214
        5167        5089         23
        5167        5126         23
        5167        5153         23
        5167        5172         20
        5167        5198         19
        5167        5199         24
        5168        5168         18
        5168        5172         73
        5168        5191         72
        5168        5199         41
        5170        5039         50
        5170        5119         52
        5170        5135         23
        5170        5172         74
        5170        5188         66
        5170        5198         32
        5171        5122         34
        5171        5150         62
        5171        5172         34
        5174        5158         81
        5174        5175         32
        5174        5193         24
        5175        5043         49
        5175        5172         37
        5175        5190         40
        5175        5198         26
        5176        5193         55
        5178        5172         15
        5178        5184         79
        5178        5193         47
        5179        5159         31
        5179        5193         24
        5180        5127         38
        5180        5184         34
        5180        5193         53
        5180        5198         46
        5181        5079         16
        5181        5184         18
        5181        5198        144
        5182        5172         21
        5183        5088         36
        5183        5128         88
        5186        5193         31
        5187        5193        139
        5188        5193         49
        5191        5172         15
        5192        5050         23
        5192        5097         28
        5192        5126         95
        5192        5186         32
        5194        5172         21
        5194        5193         34
        5194        5198         16
        5195        5164         28
        5195        5193         39
        5195        5195         36
        5196        5145         19
        5196        5175         14
        5196        5184         47
        5196        5193         26
        5196        5198         79
        5199        5172         95
        5199        5184          8
        5199        5199         43
        5200        5044         18
        5200        5166         18
        5200        5195         30
        5202        5172         61
        5202        5193         30
        5202        5198         22
        5202        5205        140
        5202        5251         36
        5203        5075         22
        5203        5175         22
        5203        5196         22
        5203        5198         74
        5203        5203         30
        5204        5248         10
        5205        5088         14
        5205        5159         34
        5205        5198         44
        5205        5205         26
        5206        5153         24
        5207        5036         25
        5207        5043         35
        5207        5108         26
        5207        5109         23
        5207        5168         35
        5207        5191         23
        5207        5195         38
        5207        5198         50
        5208        5122         32
        5208        5164         32
        5208        5190         15
        5208        5198         24
        5208        5206        163
        5208        5208         66
        5208        5216         18
        5212        5157         32
        5212        5197         23
        5212        5212         69
        5214        5073         18
        5216        5142         19
        5216        5216        175
        5216        5224         83
        5216        5250         63
        5219        5219         30
        5223        5216         14
        5223        5223         31
        5224        5224          7
        5224        5226         52
        5224        5234         19
        5226        5226        101
        5226        5229         44
        5226        5231         76
        5226        5234         14
        5229        5114         12
        5229        5229         24
        5232        5172         50
        5232        5184         91
        5232        5196         51
        5232        5198         29
        5232        5232        106
        5232        5235         14
        5232        5248         30
        5233        5232         44
        5234        5233         19
        5236        5043         20
        5236        5155         23
        5236        5172         22
        5236        5198         47
        5237        5106         29
        5237        5125         19
        5237        5145         21
        5237        5172         30
        5237        5180         13
        5237        5206         77
        5238        5039         33
        5238        5041         50
        5238        5173         31
        5239        5093         43
        5239        5106        100
        5239        5167         28
        5239        5175         38
        5241        5135         31
        5241        5159         45
        5241        5184         55
        5241        5190         57
        5241        5193         57
        5241        5196         36
        5241        5197         33
        5241        5206         47
        5241        5241         70
        5244        5032         16
        5245        5181         15
        5247        5068         28
        5247        5092         25
        5247        5168         25
        5247        5194         17
        5248        5198         19
        5249        5177         31
        5251        5163         19
        5252        5198         28

TABLE    : occupation (Manufacturing/Construction/Trades)

  gta06_hhld   gta06_emp      total
        5001        5056         49
        5001        5059         70
        5001        5088         20
        5001        5197         49
        5002        5003         85
        5002        5172         40
        5002        5197         27
        5003        5126         20
        5004        5036         68
        5004        5107         69
        5004        5245         69
        5005        5005         11
        5005        5023         73
        5005        5034         73
        5005        5197        153
        5007        5119        124
        5007        5208         26
        5008        5210         90
        5009        5023         52
        5009        5039         47
        5009        5136         46
        5012        5020         17
        5012        5128         12
        5012        5210         62
        5018        5018         31
        5020        5018         15
        5020        5020         20
        5020        5119         44
        5028        5043         34
        5030        5055         14
        5030        5197         22
        5032        5032        105
        5032        5088         62
        5032        5197        253
        5036        5128         93
        5036        5213         74
        5041        5055         16
        5041        5058         16
        5041        5126         30
        5041        5153         18
        5041        5157         21
        5041        5182        110
        5041        5197         92
        5041        5198         33
        5041        5206         15
        5044        5197          7
        5045        5088         25
        5045        5099         50
        5045        5177         38
        5045        5206         80
        5046        5013         52
        5046        5108         22
        5046        5145         26
        5046        5197         38
        5046        5210         33
        5046        5223         25
        5047        5119         22
        5050        5043          8
        5050        5050         17
        5050        5145         25
        5050        5197         38
        5050        5206         28
        5051        5008         48
        5051        5088         65
        5051        5177         84
        5051        5182         89
        5051        5185         57
        5051        5197         38
        5051        5198         51
        5052        5043         37
        5052        5092         27
        5052        5145         22
        5053        5051          9
        5053        5075         69
        5053        5126        108
        5053        5159         37
        5053        5197        150
        5056        5013         55
        5056        5175         47
        5056        5197         73
        5057        5015         39
        5057        5023         38
        5057        5088         45
        5057        5197         51
        5058        5119         55
        5058        5123         37
        5058        5197         25
        5059        5036         23
        5059        5059         24
        5059        5197         56
        5059        5206         32
        5060        5034         33
        5060        5036         61
        5060        5170         33
        5060        5198         51
        5061        5061         47
        5061        5145         50
        5063        5063         67
        5063        5197         40
        5063        5199         49
        5066        5073         62
        5066        5206         80
        5067        5197         57
        5067        5211         20
        5068        5039        110
        5068        5068         86
        5068        5119         77
        5068        5136         77
        5068        5197         30
        5069        5043         25
        5069        5136         39
        5069        5182         25
        5069        5197         25
        5071        5088         38
        5071        5108         21
        5071        5119         31
        5071        5197         32
        5073        5043        162
        5073        5172         75
        5073        5176         59
        5073        5182         16
        5073        5201         75
        5074        5185         52
        5075        5075         71
        5075        5153         52
        5075        5197         63
        5077        5197         19
        5078        5036         74
        5078        5197         19
        5078        5223         13
        5079        5027         15
        5080        5128         41
        5080        5206         21
        5081        5030         48
        5081        5081         17
        5081        5128          9
        5081        5148         41
        5082        5020         33
        5082        5036         38
        5082        5043         84
        5082        5066         38
        5082        5105         22
        5082        5128         28
        5082        5145         30
        5082        5153         30
        5082        5166         38
        5084        5013         33
        5084        5016         25
        5084        5084        117
        5084        5119         38
        5084        5128         41
        5084        5197         32
        5084        5206         45
        5084        5219         17
        5086        5197         14
        5087        5197         56
        5088        5088         23
        5089        5023         47
        5089        5036         66
        5089        5088         30
        5089        5197         66
        5090        5076         68
        5090        5090         20
        5090        5119         76
        5090        5162         20
        5091        5036         72
        5091        5197        133
        5091        5219         26
        5092        5031         21
        5092        5036         69
        5092        5164         33
        5092        5197        121
        5093        5108         21
        5093        5136        168
        5094        5139         14
        5094        5198         26
        5094        5206         45
        5095        5043         22
        5095        5122         38
        5095        5210         50
        5096        5088         51
        5096        5128         24
        5096        5136        101
        5096        5197         51
        5096        5202         41
        5097        5051         31
        5098        5018         39
        5098        5108         29
        5098        5139         57
        5098        5197         40
        5099        5119         77
        5100        5043         26
        5100        5088         35
        5100        5119         35
        5101        5086        163
        5101        5119         25
        5101        5232         40
        5102        5043         38
        5102        5119         81
        5102        5148         39
        5104        5036         22
        5104        5175         13
        5104        5205         25
        5104        5248         26
        5104        5251         56
        5105        5197         24
        5106        5067         18
        5106        5119         29
        5106        5128         29
        5106        5210         19
        5107        5107         37
        5107        5153         37
        5107        5208         37
        5110        5023         40
        5110        5043         40
        5110        5061        102
        5110        5176         29
        5110        5197         16
        5110        5240         24
        5111        5111         48
        5111        5119         54
        5111        5121         42
        5111        5197         39
        5111        5198         25
        5113        5108         62
        5114        5197         42
        5115        5020         20
        5115        5115         24
        5115        5197        149
        5115        5198         52
        5115        5252         58
        5116        5034         74
        5116        5038         17
        5117        5197         41
        5118        5013         50
        5118        5108         24
        5118        5197         31
        5118        5245         21
        5119        5119         66
        5120        5119         28
        5120        5197         26
        5121        5018         17
        5121        5197         46
        5122        5127         54
        5122        5194         77
        5123        5023         33
        5123        5108         17
        5123        5136         83
        5123        5197         56
        5123        5210         47
        5125        5176         33
        5126        5183         72
        5126        5193         29
        5127        5043         37
        5127        5065         33
        5127        5119         22
        5127        5197         43
        5127        5210         18
        5129        5197         92
        5130        5119         49
        5130        5135         58
        5130        5188         37
        5130        5197         97
        5131        5136         72
        5132        5043         62
        5132        5123         35
        5132        5197        121
        5133        5036         24
        5133        5150         32
        5135        5036         77
        5135        5112         61
        5135        5145         83
        5135        5182         37
        5135        5188         52
        5135        5197         48
        5137        5212         50
        5138        5119         17
        5139        5023         18
        5139        5043         59
        5139        5112         23
        5139        5164         15
        5139        5198         44
        5139        5213         34
        5140        5140         24
        5140        5197         21
        5140        5206         24
        5141        5139         22
        5141        5197        127
        5143        5193         63
        5143        5206         61
        5144        5020         54
        5144        5061         21
        5144        5135         25
        5144        5139         46
        5144        5210         28
        5148        5036         24
        5148        5136         26
        5148        5197         56
        5148        5202         30
        5148        5206         47
        5148        5251         17
        5149        5119         35
        5149        5128         43
        5149        5153         85
        5149        5165         64
        5149        5175         32
        5149        5184         49
        5149        5197         24
        5149        5251         43
        5150        5119         23
        5150        5147         23
        5150        5153         68
        5150        5197         61
        5151        5182         32
        5151        5194         84
        5151        5197         49
        5154        5036         28
        5154        5088        112
        5154        5149         36
        5154        5197         37
        5155        5102         87
        5155        5155         17
        5155        5198          7
        5157        5145         32
        5157        5176         83
        5158        5192         61
        5158        5204         24
        5160        5088         53
        5161        5036        151
        5161        5088        170
        5161        5136        114
        5161        5153         43
        5161        5161         49
        5162        5036         32
        5162        5145         18
        5162        5162        113
        5162        5206         49
        5162        5210         49
        5162        5233         36
        5163        5198         48
        5164        5119        123
        5164        5148         52
        5164        5202        120
        5164        5210         16
        5165        5023        163
        5165        5165         14
        5165        5197        163
        5166        5036         49
        5166        5193         40
        5166        5216         44
        5166        5251         33
        5167        5238         19
        5168        5192         34
        5170        5182         27
        5171        5210         19
        5172        5088         39
        5174        5128         17
        5175        5036         20
        5175        5108         40
        5176        5058         58
        5176        5108         62
        5176        5162         55
        5176        5175         22
        5176        5197         43
        5176        5210         41
        5177        5148         12
        5177        5163         28
        5177        5177        120
        5179        5188         31
        5179        5199         95
        5179        5206         40
        5179        5210         72
        5180        5043         27
        5180        5052         27
        5180        5180         41
        5180        5193         32
        5180        5197         25
        5182        5105         26
        5182        5206         51
        5183        5182         52
        5183        5183         31
        5183        5206         88
        5186        5180         21
        5187        5128         51
        5188        5136         28
        5191        5137         56
        5191        5191         74
        5194        5210         22
        5195        5018         22
        5197        5173         15
        5197        5197         34
        5200        5119         22
        5200        5197         22
        5202        5088         18
        5202        5176         23
        5202        5207         19
        5203        5036         28
        5203        5198         34
        5203        5207         17
        5203        5210         23
        5204        5251         55
        5205        5013         56
        5205        5207         34
        5206        5014         28
        5206        5136         20
        5206        5151         76
        5207        5073         31
        5207        5197         28
        5208        5208         12
        5210        5233         32
        5216        5038         26
        5216        5043         19
        5216        5177         19
        5216        5216        159
        5216        5248         22
        5219        5177         57
        5219        5219         59
        5219        5250         44
        5223        5223        115
        5223        5224         51
        5223        5248         53
        5223        5250         51
        5224        5177        104
        5224        5224         31
        5224        5226         19
        5224        5234         19
        5226        5201         36
        5227        5250         22
        5230        5197         19
        5231        5067         52
        5231        5231         12
        5232        5248         30
        5233        5233         14
        5235        5234         48
        5237        5136         20
        5237        5197         46
        5237        5210         21
        5237        5237         32
        5238        5043         28
        5238        5197         42
        5238        5238         16
        5238        5251         33
        5239        5111         40
        5239        5175        122
        5239        5197         81
        5240        5099         51
        5240        5153         17
        5240        5201         14
        5240        5210         17
        5241        5023         45
        5241        5061         20
        5241        5119         45
        5241        5198         41
        5241        5241         71
        5242        5119         15
        5242        5151         37
        5242        5175         37
        5244        5034         50
        5244        5043         31
        5244        5088         69
        5244        5197         25
        5246        5136         23
        5247        5145         19
        5247        5182         25
        5247        5190         19
        5248        5036         30
        5248        5097         18
        5248        5197         88
        5248        5248         42
        5249        5232         26
        5249        5250         31

TABLE    : occupation (Professional/Management/Technical)

  gta06_hhld   gta06_emp      total
        5001        5198          8
        5002        5002         35
        5002        5088         82
        5002        5110         18
        5002        5139         82
        5002        5157         27
        5002        5188         15
        5002        5190         37
        5002        5196         38
        5002        5232         80
        5004        5004        107
        5004        5197         66
        5005        5005         36
        5005        5007        123
        5005        5020        137
        5005        5043         61
        5005        5044         54
        5005        5088         41
        5005        5118         41
        5005        5139         54
        5005        5142        123
        5005        5144         65
        5005        5172         54
        5005        5176         27
        5005        5186        113
        5005        5197         45
        5005        5198         22
        5005        5210         65
        5007        5052         26
        5007        5151         69
        5007        5159         32
        5007        5175         71
        5007        5197         34
        5007        5198         34
        5007        5203         71
        5008        5249         48
        5009        5005         44
        5009        5109        121
        5009        5127         47
        5009        5135         43
        5009        5193         46
        5009        5202         87
        5011        5011         15
        5011        5040         82
        5011        5107         82
        5012        5012         20
        5012        5104         71
        5012        5135         20
        5014        5014         18
        5014        5181         18
        5018        5018         67
        5020        5159         61
        5020        5193         18
        5020        5203         57
        5028        5126         20
        5030        5113         48
        5030        5237         43
        5032        5005         81
        5032        5032        218
        5032        5043         84
        5032        5051         33
        5032        5080         17
        5032        5082        106
        5032        5119         19
        5032        5127         19
        5032        5135         22
        5032        5140         55
        5032        5145          7
        5032        5147        104
        5032        5182         83
        5032        5188         34
        5032        5190        106
        5032        5194        104
        5032        5197          7
        5032        5199         60
        5032        5201         84
        5032        5206         83
        5032        5208         75
        5032        5210         33
        5033        5104         96
        5033        5107         75
        5036        5194          6
        5037        5113         84
        5037        5132         84
        5038        5084         13
        5041        5032         16
        5041        5041         54
        5041        5056         24
        5041        5077         95
        5041        5080         33
        5041        5082         54
        5041        5121         27
        5041        5135         64
        5041        5139         25
        5041        5144         64
        5041        5159          8
        5041        5175         65
        5041        5184         31
        5041        5193         54
        5041        5197         22
        5041        5199         23
        5044        5020         26
        5044        5075         93
        5044        5119         42
        5044        5148         61
        5044        5151         27
        5044        5186         93
        5044        5199         51
        5045        5043         37
        5045        5045        130
        5045        5082         46
        5045        5116         30
        5045        5147         31
        5045        5168         65
        5045        5184         50
        5045        5185         26
        5045        5197         27
        5045        5198         92
        5046        5041         30
        5046        5046         41
        5046        5051        167
        5046        5068         27
        5046        5092         30
        5046        5119         41
        5046        5135        109
        5046        5143         34
        5046        5144        139
        5046        5150         33
        5046        5153         44
        5046        5170         37
        5046        5172         30
        5046        5184         27
        5046        5186         30
        5046        5188         40
        5046        5193         27
        5046        5197         23
        5046        5204         25
        5046        5206         32
        5047        5097         53
        5047        5104         10
        5047        5138         33
        5047        5174         33
        5047        5175         17
        5047        5185         32
        5047        5198         29
        5047        5207         14
        5049        5113         37
        5050        5044         27
        5050        5050         61
        5050        5112         31
        5050        5135         63
        5050        5151         33
        5050        5198        106
        5051        5036         30
        5051        5043         41
        5051        5048         38
        5051        5068         47
        5051        5087         41
        5051        5088        251
        5051        5092         41
        5051        5140         51
        5051        5142        146
        5051        5172        157
        5051        5184         34
        5051        5186         96
        5051        5235         41
        5052        5032         17
        5052        5036          8
        5052        5056         22
        5052        5092          8
        5052        5135         27
        5052        5193         44
        5052        5194         28
        5052        5197         16
        5053        5039         69
        5053        5050         13
        5053        5053         15
        5053        5068         26
        5053        5076         16
        5053        5081         19
        5053        5099         61
        5053        5104          7
        5053        5172         36
        5053        5181         19
        5053        5198         15
        5053        5199         32
        5053        5200         36
        5053        5201         10
        5053        5210         16
        5053        5244         35
        5054        5088         28
        5054        5199         64
        5056        5012         37
        5056        5013         55
        5056        5020         16
        5056        5043         55
        5056        5065         37
        5056        5082         33
        5056        5135         64
        5056        5159         36
        5056        5171         45
        5056        5172         80
        5056        5210         28
        5057        5088         46
        5057        5168         36
        5057        5172         55
        5057        5193         44
        5057        5202         48
        5057        5205         47
        5057        5252         36
        5058        5052         48
        5058        5089         48
        5058        5142         55
        5058        5144         55
        5058        5184         36
        5058        5194         37
        5059        5010         29
        5059        5036         48
        5059        5059        266
        5059        5091         53
        5059        5092         23
        5059        5119         30
        5059        5184        110
        5059        5185         27
        5059        5187         81
        5059        5193         24
        5059        5201         27
        5059        5206         32
        5059        5210         31
        5060        5036         51
        5060        5057         55
        5060        5060         85
        5060        5159        113
        5060        5185         61
        5060        5197         81
        5061        5036         55
        5061        5079         24
        5061        5093         58
        5061        5102         19
        5061        5106         37
        5061        5159         16
        5061        5192         45
        5061        5194         21
        5061        5195         21
        5061        5198         19
        5061        5241         29
        5063        5032         76
        5063        5046         57
        5063        5052         77
        5063        5063         64
        5063        5081         38
        5063        5127         43
        5063        5170         29
        5063        5172         57
        5063        5190         62
        5063        5193         29
        5063        5195         29
        5065        5050         29
        5065        5065         45
        5065        5094         36
        5065        5139         40
        5065        5193         34
        5065        5198         29
        5066        5058         60
        5066        5066         32
        5066        5068         66
        5066        5073         23
        5066        5091         66
        5066        5094         33
        5066        5111         97
        5066        5135         36
        5066        5142         42
        5066        5168         53
        5066        5170         28
        5066        5175         27
        5066        5198        102
        5066        5203         42
        5066        5206         69
        5066        5235         26
        5067        5050         53
        5067        5067         34
        5067        5142         31
        5067        5184         47
        5067        5193         26
        5067        5194         48
        5067        5197         21
        5068        5037         49
        5068        5068        106
        5068        5082         38
        5068        5088         53
        5068        5097         52
        5068        5133         19
        5068        5144         55
        5068        5147         24
        5068        5159         28
        5068        5167         58
        5068        5168         21
        5068        5170         49
        5068        5182         46
        5068        5194         41
        5068        5197         58
        5068        5198         59
        5069        5069         42
        5069        5117         29
        5069        5135         28
        5069        5159         28
        5069        5198         78
        5069        5251         30
        5071        5026         18
        5071        5039         40
        5071        5066         32
        5071        5076         16
        5071        5079         21
        5071        5119         44
        5071        5142         47
        5071        5159         32
        5071        5201         44
        5072        5072        123
        5073        5031         33
        5073        5073        293
        5073        5104         73
        5073        5135         41
        5073        5139         33
        5073        5145         53
        5073        5154         81
        5073        5159         89
        5073        5175         27
        5073        5184         73
        5073        5194         27
        5073        5198        104
        5073        5204         63
        5073        5208         30
        5074        5074        131
        5074        5172         27
        5074        5195         53
        5074        5197         37
        5075        5087         33
        5075        5089         58
        5075        5128         30
        5075        5135         41
        5075        5136         63
        5075        5159         41
        5075        5184         33
        5076        5043         27
        5076        5073         37
        5076        5076         85
        5076        5113         35
        5076        5121         19
        5076        5139         27
        5076        5168         26
        5076        5184         26
        5076        5195         26
        5076        5210         16
        5077        5005         26
        5077        5099         27
        5078        5065         42
        5078        5078         49
        5078        5168         39
        5078        5172         20
        5078        5194         49
        5078        5198         19
        5079        5153        143
        5079        5159         12
        5079        5198         19
        5080        5080         11
        5080        5093         55
        5080        5197          8
        5081        5075         31
        5081        5147         17
        5081        5166         17
        5081        5184         17
        5081        5197         26
        5082        5082         37
        5082        5102         33
        5082        5118         50
        5082        5132         50
        5082        5139         64
        5082        5143         50
        5082        5153         33
        5082        5159         98
        5082        5170         50
        5082        5175         34
        5082        5181         42
        5082        5184         33
        5082        5188         33
        5082        5193         28
        5082        5197         28
        5082        5198        141
        5082        5205         37
        5084        5020         71
        5084        5032         51
        5084        5050         75
        5084        5075         19
        5084        5084         61
        5084        5091         33
        5084        5098         36
        5084        5104         81
        5084        5115         35
        5084        5139         32
        5084        5147         33
        5084        5159         92
        5084        5172         97
        5084        5193         32
        5084        5194         75
        5084        5198         51
        5084        5251         59
        5086        5005         30
        5086        5043         46
        5086        5052         19
        5086        5058         30
        5086        5086         38
        5086        5092         17
        5086        5099         39
        5086        5128         25
        5086        5150         27
        5086        5151         14
        5086        5153         17
        5086        5197         19
        5086        5248         25
        5087        5051         28
        5088        5039         26
        5089        5036         42
        5089        5038         34
        5089        5089         47
        5089        5091         56
        5089        5135         52
        5089        5142         77
        5089        5147         30
        5089        5159         66
        5089        5195         34
        5089        5197         47
        5089        5201         26
        5090        5009         44
        5090        5088         44
        5090        5090         49
        5090        5113         18
        5090        5119         41
        5090        5184         15
        5090        5194         68
        5090        5197         27
        5090        5198         68
        5091        5036         71
        5091        5091         39
        5092        5087         34
        5092        5092        283
        5092        5150         33
        5092        5159         22
        5092        5168         33
        5092        5186         74
        5092        5194         33
        5093        5041         18
        5093        5093         18
        5093        5157         19
        5094        5038         51
        5094        5047         80
        5094        5050         33
        5094        5082         25
        5094        5084         34
        5094        5094        383
        5094        5135         97
        5094        5143         34
        5094        5159         74
        5094        5172         47
        5094        5175         80
        5094        5194         87
        5094        5197        120
        5094        5198        214
        5094        5203         33
        5094        5206         45
        5094        5246         55
        5094        5251         19
        5095        5087         29
        5095        5114         36
        5095        5140        109
        5095        5142         50
        5095        5143         29
        5095        5145         57
        5095        5172         38
        5095        5194         57
        5095        5199         39
        5096        5061         39
        5096        5096         95
